country,literacy_rate
Afghanistan,0.37
Albania,0.99
Algeria,0.81
American Samoa,0.97
Andorra,1
Angola,0.72
Antigua and Barbuda,0.99
Argentina,0.99
Armenia,1
Aruba,0.98
Australia,1
Azerbaijan,1
Bahrain,0.98
Bangladesh,0.75
Barbados,1
Belarus,1
Belize,0.81
Benin,0.47
Bhutan,0.72
Bolivia,0.94
Bosnia and Herzegovina,0.98
Botswana,0.89
Brazil,0.94
Brunei,0.98
Bulgaria,0.98
Burkina Faso,0.34
Burundi,0.76
Cambodia,0.84
Cameroon,0.78
Canada,1
Cape Verde,0.91
Cayman Islands,0.99
Central African Republic,0.37
Chad,0.27
Chile,0.97
China,0.97
Colombia,0.96
Comoros,0.62
Costa Rica,0.98
Croatia,0.99
Cuba,1
Cyprus,0.99
Czech Republic,0.99
Dominican Republic,0.95
DR Congo,0.81
Ecuador,0.94
Egypt,0.75
El Salvador,0.9
Equatorial Guinea,0.95
Eritrea,0.77
Estonia,1
Eswatini,0.89
Ethiopia,0.52
Fiji,0.99
France,1
Gabon,0.86
Gambia,0.59
Georgia,1
Germany,1
Ghana,0.8
Greece,0.98
Greenland,1
Grenada,0.99
Guam,1
Guatemala,0.84
Guinea,0.45
Guinea Bissau,0.54
Guyana,0.9
Haiti,0.62
Honduras,0.89
Hungary,0.99
India,0.74
Indonesia,0.96
Iran,0.89
Israel,0.92
Italy,0.99
Ivory Coast,0.9
Jamaica,0.89
Japan,1
Jordan,0.98
Kazakhstan,1
Kenya,0.83
Kuwait,0.96
Kyrgyzstan,1
Laos,0.88
Latvia,1
Lebanon,0.95
Lesotho,0.82
Liberia,0.48
Libya,0.91
Lithuania,1
Madagascar,0.77
Malawi,0.68
Malaysia,0.95
Maldives,0.98
Mali,0.31
Malta,0.95
Marshall Islands,0.98
Mauritania,0.67
Mauritius,0.92
Mexico,0.95
Moldova,1
Mongolia,0.99
Montenegro,0.99
Morocco,0.77
Mozambique,0.63
Myanmar,0.89
Namibia,0.92
Nepal,0.71
New Caledonia,0.97
Nicaragua,0.83
Niger,0.38
Nigeria,0.62
North Macedonia,0.98
Oman,0.97
Pakistan,0.58
Palau,0.97
Panama,0.96
Papua New Guinea,0.64
Paraguay,0.95
Peru,0.94
Philippines,0.96
Poland,1
Portugal,0.97
Puerto Rico,0.92
Qatar,0.94
Republic of the Congo,0.81
Romania,0.99
Russia,1
Rwanda,0.76
Saint Vincent and the Grenadines,0.97
Samoa,0.99
San Marino,1
Sao Tome and Principe,0.94
Saudi Arabia,0.98
Senegal,0.58
Serbia,0.99
Seychelles,0.96
Sierra Leone,0.49
Singapore,0.97
Slovenia,1
Solomon Islands,0.77
Somalia,0.41
South Africa,0.9
South Sudan,0.35
Spain,0.99
Sudan,0.61
Suriname,0.95
Switzerland,1
Syria,0.86
Taiwan,0.99
Tajikistan,1
Tanzania,0.82
Thailand,0.94
Timor Leste,0.7
Togo,0.67
Tonga,0.99
Trinidad and Tobago,0.98
Tunisia,0.84
Turkey,0.97
Turkmenistan,0.99
Uganda,0.81
Ukraine,1
United Arab Emirates,0.98
United Kingdom,1
United States of America,1
Uruguay,0.99
Uzbekistan,1
Vanuatu,0.89
Venezuela,0.98
Vietnam,0.96
Yemen,0.7
Zambia,0.88
Zimbabwe,0.9
Zimbabwe,0.9